frame_idx,p_0,p_1,p_2,focus_score,focus_bucket
0,0.06412870436906815,0.002097759861499071,0.9337735772132874,0.9337735772132874,focused
1,0.000852087396197021,0.0001377649314235896,0.9990100860595703,0.9355574729783278,focused
2,0.0006990400142967701,0.0007106041302904487,0.9985902905464172,0.937281108689479,focused
3,0.0009382457938045263,0.003980227280408144,0.9950815439224243,0.9388616646305167,focused
4,0.0001782910549081862,0.005773769225925207,0.994047999382019,0.9403707378564197,focused
5,0.0006511496612802148,0.0006755533977411687,0.9986733198165894,0.94196502502612,focused
6,0.0026269254740327597,0.000981812598183751,0.996391236782074,0.9434533126487367,focused
7,0.01019431184977293,0.001120622269809246,0.9886850714683533,0.9446901774722939,focused
8,0.0002506094169802964,0.00034084313665516675,0.9994086027145386,0.94618645568806,focused
9,0.00013117140042595565,0.0006275348132476211,0.9992413520812988,0.9476372446199689,focused
10,9.299255179939792e-05,0.0001460331113776192,0.9997609257698059,0.9490625694220765,focused
11,0.0002133202797267586,0.00019200408132746816,0.9995947480201721,0.9504443745032131,focused
12,0.0015165283111855388,0.0006507989019155502,0.997832715511322,0.9517402111801244,focused
13,0.09518388658761978,0.00930275022983551,0.8955134153366089,0.9502026864909449,focused
14,0.07375751435756683,0.012693523429334164,0.91354900598526,0.9492003896699837,focused
15,0.8107109069824219,0.0015336151700466871,0.18775545060634613,0.9283786377686394,focused
16,0.9851375818252563,0.000984493177384138,0.01387797947973013,0.9033715691762296,focused
17,0.9767255187034607,0.0009115319116972387,0.022362912073731422,0.8792803411175302,focused
18,0.4987793564796448,0.002650588983669877,0.4985700845718384,0.868869799131606,focused
19,0.1440834105014801,0.0011775246821343899,0.8547391295433044,0.8684833952286143,focused
20,0.0016332161612808704,0.0002895789803005755,0.9980771541595459,0.8720271433816202,focused
21,0.00044979475205764174,0.00017736035806592554,0.9993728995323181,0.8755094197803833,focused
22,0.0006373535143211484,0.0034839909058064222,0.9958786964416504,0.8788009239806308,focused
23,0.00025209898012690246,0.004292695317417383,0.9954551458358765,0.8819908398118415,focused
24,0.0002199063019361347,0.000781959155574441,0.9989981055259705,0.885190409645939,focused
25,0.00319987372495234,0.0026578139513731003,0.9941423535346985,0.8881697062811108,focused
26,0.1853407323360443,0.000948350119870156,0.8137109279632568,0.8861336270723921,focused
27,0.9902040958404541,0.0002303689980180934,0.009565495885908604,0.8621638254283831,focused
