frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
411,0,82.000,0.98,1,0.37,0.00,0.11,0.00,0.00,0.00,0.00,0.44,0.08,0.07,0.00,1.42,0.00,0.03,0.91,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
412,0,82.200,0.98,1,0.26,0.00,0.09,0.00,0.00,0.00,0.00,0.53,0.12,0.07,0.00,1.32,0.00,0.00,0.77,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
413,0,82.400,0.98,1,0.23,0.00,0.11,0.00,0.00,0.00,0.00,0.53,0.16,0.00,0.00,1.28,0.00,0.00,0.80,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
414,0,82.600,0.98,1,0.27,0.00,0.17,0.00,0.00,0.00,0.00,0.49,0.13,0.00,0.05,1.32,0.00,0.03,0.68,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
415,0,82.800,0.98,1,0.28,0.00,0.11,0.00,0.00,0.00,0.00,0.38,0.07,0.00,0.05,1.55,0.00,0.07,0.65,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
416,0,83.000,0.98,1,0.28,0.00,0.07,0.00,0.00,0.00,0.00,0.40,0.03,0.00,0.05,1.59,0.04,0.13,0.59,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
417,0,83.200,0.98,1,0.22,0.00,0.06,0.00,0.00,0.00,0.00,0.42,0.05,0.00,0.00,1.59,0.04,0.17,0.47,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
418,0,83.400,0.98,1,0.27,0.00,0.16,0.00,0.00,0.00,0.00,0.51,0.10,0.09,0.00,1.55,0.04,0.15,0.48,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
419,0,83.600,0.98,1,0.20,0.00,0.23,0.00,0.00,0.00,0.00,0.55,0.15,0.22,0.00,1.57,0.00,0.10,0.45,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
420,0,83.800,0.98,1,0.20,0.00,0.27,0.00,0.00,0.00,0.00,0.65,0.14,0.27,0.00,1.61,0.00,0.04,0.58,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
421,0,84.000,0.98,1,0.22,0.00,0.22,0.00,0.00,0.00,0.00,0.59,0.11,0.18,0.00,1.57,0.00,0.03,0.62,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
422,0,84.200,0.98,1,0.24,0.00,0.17,0.00,0.00,0.00,0.00,0.58,0.08,0.06,0.00,1.53,0.00,0.02,0.69,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
423,0,84.400,0.98,1,0.19,0.00,0.09,0.00,0.00,0.00,0.00,0.47,0.10,0.01,0.00,1.51,0.00,0.06,0.65,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
424,0,84.600,0.98,1,0.14,0.00,0.04,0.00,0.00,0.00,0.00,0.46,0.09,0.03,0.00,1.53,0.00,0.12,0.68,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
425,0,84.800,0.98,1,0.18,0.00,0.02,0.00,0.00,0.00,0.00,0.44,0.07,0.09,0.00,1.61,0.00,0.20,0.71,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
426,0,85.000,0.98,1,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.02,0.09,0.00,1.66,0.00,0.29,0.69,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
427,0,85.200,0.98,1,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.02,0.07,0.00,1.74,0.00,0.33,0.64,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
428,0,85.400,0.98,1,0.81,0.35,0.00,0.00,0.00,0.00,0.00,0.34,0.02,0.46,0.00,1.50,0.00,0.25,0.42,0.27,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
429,0,85.600,0.98,1,0.65,0.92,0.07,0.00,0.00,0.00,0.00,0.42,0.53,0.46,0.61,1.22,0.00,0.27,0.27,0.11,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
430,0,85.800,0.03,0,0.44,0.92,0.07,0.00,0.00,0.00,0.00,0.20,0.52,0.46,0.61,0.62,0.00,0.14,0.06,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
431,0,86.000,0.03,0,0.00,0.57,0.07,0.00,0.00,0.00,0.00,0.18,0.52,0.00,0.61,0.31,0.00,0.14,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
432,0,86.200,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433,0,86.400,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434,0,86.600,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
435,0,86.800,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
436,0,87.000,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
437,0,87.200,0.22,0,0.00,0.00,0.17,0.42,0.00,0.22,0.18,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438,0,87.400,0.88,1,0.00,0.00,0.17,0.80,0.00,0.61,0.19,0.34,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
439,0,87.600,0.88,1,0.00,0.00,0.17,1.11,0.00,0.77,0.25,0.65,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
440,0,87.800,0.88,1,0.00,0.00,0.00,0.79,0.00,0.86,0.09,0.91,0.26,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441,0,88.000,0.88,1,0.00,0.00,0.00,0.57,0.00,0.92,0.09,1.17,0.44,0.33,0.00,0.00,0.00,0.07,0.00,0.09,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
442,0,88.200,0.88,1,0.00,0.00,0.00,0.26,0.23,1.41,0.77,1.47,0.59,0.24,0.00,0.00,0.00,0.31,0.00,0.09,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443,0,88.400,0.88,1,0.00,0.00,0.00,0.16,0.56,1.11,0.89,1.06,0.37,0.19,1.67,1.08,0.67,1.27,0.00,1.15,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
444,0,88.600,0.03,0,0.00,0.00,0.00,0.00,0.56,0.65,0.89,0.60,0.18,0.00,1.67,1.08,0.67,1.20,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445,0,88.800,0.03,0,0.00,0.00,0.00,0.00,0.33,0.00,0.14,0.00,0.00,0.00,1.67,1.08,0.67,0.96,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
446,0,89.000,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
447,0,89.200,0.03,0,0.00,0.00,0.11,0.01,0.38,0.00,0.39,0.13,0.53,0.70,0.60,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
448,0,89.400,0.93,1,0.00,0.00,0.11,0.14,0.68,0.00,0.67,0.18,1.00,1.22,1.32,0.28,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
449,0,89.600,0.93,1,0.00,0.00,0.11,0.19,0.93,0.00,1.06,0.18,1.38,1.67,2.05,0.62,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
450,0,89.800,0.93,1,0.00,0.00,0.00,0.18,0.83,0.00,1.02,0.21,1.25,1.22,2.33,0.93,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
451,0,90.000,0.98,1,0.00,0.00,0.00,0.05,0.83,0.00,1.10,0.32,1.12,0.91,2.48,0.87,0.13,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
452,0,90.200,0.98,1,0.00,0.00,0.00,0.00,0.76,0.00,0.97,0.32,0.86,0.51,2.88,0.77,0.26,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
453,0,90.400,0.93,1,0.00,0.00,0.00,0.00,0.55,0.00,0.89,0.36,0.47,0.25,2.35,0.40,0.24,0.09,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
454,0,90.600,0.98,1,0.00,0.00,0.51,0.00,0.46,0.06,1.26,0.73,0.40,0.77,1.78,0.24,0.14,0.53,0.00,0.30,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
455,0,90.800,0.68,0,0.00,0.00,0.51,0.00,0.28,0.06,1.00,0.73,0.28,0.73,0.66,0.00,0.00,0.53,0.00,0.30,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
456,0,91.000,0.03,0,0.00,0.00,0.51,0.00,0.36,0.38,1.40,0.96,0.36,0.73,0.31,0.00,0.00,0.86,0.00,0.30,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
457,0,91.200,0.88,1,0.00,0.00,0.00,0.00,0.40,0.67,1.29,0.91,0.11,0.13,0.00,0.00,0.00,0.67,0.00,0.00,0.05,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458,0,91.400,0.98,1,0.00,0.30,0.25,0.00,0.71,0.70,2.12,1.56,0.26,0.48,0.00,0.00,0.00,1.11,0.09,0.00,0.05,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
459,0,91.600,0.98,1,0.00,0.30,0.64,0.04,0.56,0.89,1.59,1.61,0.26,0.63,0.00,0.00,0.00,0.96,0.09,0.00,0.05,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
460,0,91.800,0.88,1,0.00,0.31,0.69,0.04,0.40,0.54,1.38,1.48,0.24,0.80,0.29,0.00,0.33,0.96,0.09,0.27,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
461,0,92.000,0.98,1,0.00,0.01,0.68,0.23,0.09,0.93,0.98,0.95,0.13,0.81,0.46,0.21,0.33,1.31,0.00,0.76,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
462,0,92.200,0.98,1,0.00,0.01,0.47,0.60,0.09,0.83,1.18,0.49,0.13,0.67,0.51,0.23,0.33,2.09,0.04,1.43,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
463,0,92.400,0.98,1,0.00,0.00,0.67,0.82,0.00,1.12,0.79,0.56,0.13,0.55,0.45,0.23,0.00,2.15,0.04,1.16,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
464,0,92.600,0.88,1,0.00,0.26,0.75,0.87,0.00,0.95,0.63,0.72,0.09,0.19,0.27,0.02,0.00,1.66,0.04,0.86,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
465,0,92.800,0.88,1,0.00,0.47,0.73,0.71,0.06,0.54,0.57,0.76,0.00,0.29,0.23,0.00,0.00,0.62,0.00,0.19,0.20,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
466,0,93.000,0.98,1,0.49,0.73,0.58,0.50,0.06,0.26,0.54,0.49,0.04,0.46,0.04,0.52,0.00,0.30,0.31,0.40,0.94,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
467,0,93.200,0.98,1,0.49,0.67,0.34,0.55,0.06,0.00,1.02,0.72,0.28,0.62,0.04,1.30,0.13,0.40,0.31,0.78,0.96,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
468,0,93.400,0.88,1,0.49,0.64,0.17,0.44,0.00,0.00,1.02,0.64,0.42,1.12,0.91,1.98,0.13,1.50,0.31,1.20,0.77,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
469,0,93.600,0.88,1,0.04,0.49,0.20,0.66,0.00,0.00,1.35,0.50,0.40,1.40,1.91,1.99,0.25,2.92,0.00,1.42,0.19,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
470,0,93.800,0.88,1,0.04,0.29,0.87,0.37,0.00,0.00,1.10,0.17,0.19,1.75,2.83,2.03,0.62,3.62,0.00,1.14,0.32,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
471,0,94.000,0.98,1,0.04,0.11,1.39,0.41,0.00,0.00,1.32,0.49,0.05,2.07,3.05,2.42,1.02,3.66,0.00,1.07,0.38,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
472,0,94.200,0.98,1,0.00,0.00,1.60,0.42,0.00,0.00,1.27,0.81,0.02,2.37,3.22,2.91,1.36,3.64,0.00,0.65,0.41,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
473,0,94.400,0.98,1,0.00,0.15,0.86,0.42,0.00,0.00,1.10,0.88,0.14,2.48,3.78,3.40,1.18,4.01,0.00,0.35,0.30,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
474,0,94.600,0.88,1,0.00,0.18,0.35,0.24,0.00,0.00,1.17,0.66,0.45,2.34,3.24,3.10,0.78,3.87,0.00,0.08,0.49,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
475,0,94.800,0.88,1,0.00,0.19,0.31,0.01,0.00,0.00,1.71,0.97,0.86,2.29,2.09,2.84,0.48,3.06,0.00,0.47,0.66,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
476,0,95.000,0.88,1,0.00,0.04,0.50,0.01,0.00,0.00,2.17,1.63,1.15,2.44,0.74,2.50,0.42,2.26,0.00,0.93,0.75,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
477,0,95.200,0.88,1,0.00,0.01,0.59,0.00,0.00,0.00,2.32,2.48,1.29,2.17,0.30,2.74,0.75,1.99,0.00,1.17,0.49,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
478,0,95.400,0.88,1,0.00,0.00,0.49,0.00,0.00,0.00,2.30,2.69,1.30,1.74,0.41,3.11,0.88,2.21,0.00,1.29,0.18,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
479,0,95.600,0.88,1,0.00,0.00,0.41,0.00,0.00,0.00,2.31,2.81,1.30,1.32,0.49,3.49,1.06,2.27,0.00,1.33,0.06,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
480,0,95.800,0.88,1,0.00,0.00,0.37,0.00,0.00,0.00,2.43,2.82,1.32,1.22,0.42,3.75,1.01,2.26,0.00,1.58,0.06,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
481,0,96.000,0.88,1,0.00,0.00,0.23,0.00,0.00,0.00,2.41,2.97,1.32,1.29,0.29,3.81,1.00,2.11,0.00,1.64,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
482,0,96.200,0.88,1,0.00,0.00,0.19,0.00,0.00,0.00,2.39,2.92,1.31,1.44,0.08,3.59,0.87,2.11,0.00,1.89,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
483,0,96.400,0.88,1,0.00,0.00,0.28,0.00,0.00,0.00,2.27,2.90,1.28,1.49,0.09,3.45,0.84,2.10,0.00,1.95,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
484,0,96.600,0.88,1,0.00,0.00,0.34,0.00,0.00,0.00,2.22,2.81,1.26,1.52,0.24,3.45,0.90,2.16,0.00,1.88,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
485,0,96.800,0.98,1,0.00,0.00,0.41,0.00,0.00,0.00,2.14,2.85,1.21,1.47,0.60,3.45,0.89,2.17,0.00,1.66,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
486,0,97.000,0.88,1,0.00,0.00,0.29,0.00,0.00,0.00,2.24,2.85,1.19,1.50,0.83,3.36,0.93,2.24,0.00,1.51,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
487,0,97.200,0.88,1,0.00,0.00,0.16,0.00,0.00,0.00,2.35,2.80,1.20,1.43,0.71,3.25,0.85,2.23,0.00,1.65,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
488,0,97.400,0.88,1,0.00,0.15,0.41,0.00,0.00,0.00,2.32,2.31,1.17,1.16,0.37,3.05,0.82,2.39,0.00,1.47,0.39,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
489,0,97.600,0.88,1,0.00,0.15,0.38,0.00,0.00,0.05,1.51,1.57,0.86,0.89,0.27,2.19,0.53,1.62,0.06,1.13,0.77,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
490,0,97.800,0.98,1,0.00,0.15,0.59,0.05,0.00,0.05,0.68,1.06,0.45,0.43,0.20,1.12,0.25,1.42,0.06,0.49,0.77,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
491,0,98.000,0.88,1,0.04,0.52,0.58,0.23,0.08,0.05,0.30,1.09,0.11,0.24,0.19,0.20,0.00,0.68,0.41,0.24,0.38,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
492,0,98.200,0.88,1,0.25,1.28,0.58,0.28,0.10,0.00,0.53,1.18,0.00,0.12,0.00,0.00,0.00,0.78,0.43,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
493,0,98.400,0.77,1,0.25,1.28,0.37,0.24,0.10,0.00,0.53,0.83,0.00,0.12,0.00,0.00,0.00,0.26,0.43,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
494,0,98.600,0.03,0,0.21,0.76,0.00,0.05,0.02,0.00,0.23,0.27,0.00,0.12,0.00,0.00,0.00,0.10,0.09,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
495,0,98.800,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
496,0,99.000,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
497,0,99.200,0.38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
498,0,99.400,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
499,0,99.600,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
